GroupId,OwnerId
05b8835d-2566-426a-84e0-c611dde4e48d,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
66951a0f-0c41-4a3e-9976-9a9d59263a96,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
97062ce0-d4c6-4320-9a86-d61119a98663,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0d543e0b-42d2-4a80-b413-ad73f67faeb1,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
1c51a64e-7239-4ea1-aff8-944f4958a7cc,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
d789f1db-ab89-4c1b-9a80-6b35d96d86a5,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
b760081e-7c17-4aa6-a9a5-713b23c06508,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
b9760167-73df-40f1-be01-6cd5be05a391,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
2d7cd803-15f3-4a2a-82a0-9c4d20efecae,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
05c00a59-8903-469d-8ff0-458046079f9e,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
7d41f5f1-5509-4198-9635-edb561019b93,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
488ae723-615c-4c02-8f30-68bbb10cefc9,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
18511c67-1f54-4a88-8b11-2201d45da20a,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
691465e0-2abb-4d4d-8f51-70869f4a4553,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
e2381690-bf2b-40d1-8729-3e72c9684746,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
b138d8b3-9929-4603-947f-3f39cd43fc24,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
bc1aaf45-328b-4334-b373-45debe4999ae,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
87af0984-90aa-42ef-97c2-34eb8655bed2,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
89231bf0-e23a-4d55-8dcf-da19f125ab4c,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
d45224b4-af01-43be-a7e2-01071e7c08bd,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0f662b9d-dfc3-46b3-ac30-87381961cde7,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
a48b8fc2-f3a6-4dc9-b986-b70143262c99,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
49f2186f-7af9-45f3-9e63-093aa785c3b9,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
02c1dd12-07a4-4a3b-8021-13e9973300ea,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
c1ed6043-6ae7-4bdc-b761-4c6a279e71a6,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0a7764a8-b6af-431f-87a8-4f9c69df7dd1,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
92cd989d-e9a4-47b1-a8b0-6e1d99e91463,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0f87c2fc-4d70-4dae-aeac-c1553bf39615,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
127c0715-ff1c-4b84-b631-8e9271da16fc,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0637da04-0824-4adb-b78c-c87cd4e883fe,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0a2434c3-e466-4558-a6fc-df45a9c008d6,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
fa075011-8ce9-4251-aee6-2d66802f77ac,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
3c0f1726-fb42-45de-96d1-899d4c486dd5,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
0e40fd9c-66fc-4521-b827-28acd4596241,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
1fdecb39-e59a-4575-a33d-2cf27cc9582d,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
4e7e15d2-1c39-43d3-a6f2-8023ed8a4125,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
15a699c8-824c-4b41-af63-43328d024b3b,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
06cdd6b6-106f-4cb8-979b-ca548be285ab,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
fbd3ad4a-c87d-4a37-9a27-d320fbd6b605,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
26bb07ec-16d9-48e9-8189-55ee6de757da,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
85f83535-32b5-4631-b375-9946b8ae6232,bb7fdce9-2155-4ac9-9762-10a6bd0e6546
